Detector_Type, Descriptor_Type, Frame_Range, TTC_Lidar, TTC_Camera
AKAZE, AKAZE, 0-1, 13.144, 12.7292
AKAZE, AKAZE, 1-2, 12.9549, 15.67
AKAZE, AKAZE, 2-3, 16.3229, 13.2802
AKAZE, AKAZE, 3-4, 15.9883, 15.6351
AKAZE, AKAZE, 4-5, 11.7422, 17.7148
AKAZE, AKAZE, 5-6, 15.1703, 14.7452
AKAZE, AKAZE, 6-7, 11.3822, 15.1799
AKAZE, AKAZE, 7-8, 12.9842, 14.3852
AKAZE, AKAZE, 8-9, 13.0407, 15.2203
AKAZE, AKAZE, 9-10, 12.4117, 11.7919
AKAZE, AKAZE, 10-11, 11.6781, 12.7698
AKAZE, AKAZE, 11-12, 10.5236, 11.4734
AKAZE, AKAZE, 12-13, 9.3932, 11.0409
AKAZE, AKAZE, 13-14, 9.54557, 11.5142
AKAZE, AKAZE, 14-15, 8.62937, 10.455
AKAZE, AKAZE, 15-16, 8.67236, 10.3368
AKAZE, AKAZE, 16-17, 11.5561, 9.65611
AKAZE, AKAZE, 17-18, 8.04705, 9.46928
,,,,
AKAZE, BRIEF, 0-1, 13.144, 14.6617
AKAZE, BRIEF, 1-2, 12.9549, 15.4843
AKAZE, BRIEF, 2-3, 16.3229, 14.9118
AKAZE, BRIEF, 3-4, 15.9883, 15.1336
AKAZE, BRIEF, 4-5, 11.7422, 15.3667
AKAZE, BRIEF, 5-6, 15.1703, 15.5464
AKAZE, BRIEF, 6-7, 11.3822, 15.7052
AKAZE, BRIEF, 7-8, 12.9842, 14.8902
AKAZE, BRIEF, 8-9, 13.0407, 15.6456
AKAZE, BRIEF, 9-10, 12.4117, 12.0318
AKAZE, BRIEF, 10-11, 11.6781, 12.9694
AKAZE, BRIEF, 11-12, 10.5236, 12.4144
AKAZE, BRIEF, 12-13, 9.3932, 10.2317
AKAZE, BRIEF, 13-14, 9.54557, 10.1498
AKAZE, BRIEF, 14-15, 8.62937, 10.4327
AKAZE, BRIEF, 15-16, 8.67236, 10.14
AKAZE, BRIEF, 16-17, 11.5561, 9.72712
AKAZE, BRIEF, 17-18, 8.04705, 9.66427
,,,,
AKAZE, BRISK, 0-1, 13.144, 12.0958
AKAZE, BRISK, 1-2, 12.9549, 15.8872
AKAZE, BRISK, 2-3, 16.3229, 14.2797
AKAZE, BRISK, 3-4, 15.9883, 14.7372
AKAZE, BRISK, 4-5, 11.7422, 15.5859
AKAZE, BRISK, 5-6, 15.1703, 15.0083
AKAZE, BRISK, 6-7, 11.3822, 16.2667
AKAZE, BRISK, 7-8, 12.9842, 14.2764
AKAZE, BRISK, 8-9, 13.0407, 16.5837
AKAZE, BRISK, 9-10, 12.4117, 12.0204
AKAZE, BRISK, 10-11, 11.6781, 13.2441
AKAZE, BRISK, 11-12, 10.5236, 10.5211
AKAZE, BRISK, 12-13, 9.3932, 10.3765
AKAZE, BRISK, 13-14, 9.54557, 11.0157
AKAZE, BRISK, 14-15, 8.62937, 10.631
AKAZE, BRISK, 15-16, 8.67236, 10.5896
AKAZE, BRISK, 16-17, 11.5561, 9.72094
AKAZE, BRISK, 17-18, 8.04705, 9.49045
,,,,
AKAZE, FREAK, 0-1, 13.144, 12.63
AKAZE, FREAK, 1-2, 12.9549, 14.3104
AKAZE, FREAK, 2-3, 16.3229, 14.8838
AKAZE, FREAK, 3-4, 15.9883, 14.7102
AKAZE, FREAK, 4-5, 11.7422, 16.7468
AKAZE, FREAK, 5-6, 15.1703, 15.2291
AKAZE, FREAK, 6-7, 11.3822, 15.4655
AKAZE, FREAK, 7-8, 12.9842, 14.0768
AKAZE, FREAK, 8-9, 13.0407, 15.7895
AKAZE, FREAK, 9-10, 12.4117, 11.9253
AKAZE, FREAK, 10-11, 11.6781, 12.9781
AKAZE, FREAK, 11-12, 10.5236, 11.3793
AKAZE, FREAK, 12-13, 9.3932, 11.3342
AKAZE, FREAK, 13-14, 9.54557, 10.3924
AKAZE, FREAK, 14-15, 8.62937, 10.3297
AKAZE, FREAK, 15-16, 8.67236, 10.4448
AKAZE, FREAK, 16-17, 11.5561, 9.52042
AKAZE, FREAK, 17-18, 8.04705, 9.38296
,,,,
AKAZE, ORB, 0-1, 13.144, 12.773
AKAZE, ORB, 1-2, 12.9549, 16.4337
AKAZE, ORB, 2-3, 16.3229, 13.7565
AKAZE, ORB, 3-4, 15.9883, 15.475
AKAZE, ORB, 4-5, 11.7422, 16.5311
AKAZE, ORB, 5-6, 15.1703, 14.959
AKAZE, ORB, 6-7, 11.3822, 15.6959
AKAZE, ORB, 7-8, 12.9842, 14.1891
AKAZE, ORB, 8-9, 13.0407, 15.1072
AKAZE, ORB, 9-10, 12.4117, 12.0702
AKAZE, ORB, 10-11, 11.6781, 12.6044
AKAZE, ORB, 11-12, 10.5236, 12.3161
AKAZE, ORB, 12-13, 9.3932, 10.6983
AKAZE, ORB, 13-14, 9.54557, 11.0979
AKAZE, ORB, 14-15, 8.62937, 10.8052
AKAZE, ORB, 15-16, 8.67236, 10.2779
AKAZE, ORB, 16-17, 11.5561, 9.7292
AKAZE, ORB, 17-18, 8.04705, 9.82373
,,,,
AKAZE, SIFT, 0-1, 13.144, 12.8797
AKAZE, SIFT, 1-2, 12.9549, 15.0787
AKAZE, SIFT, 2-3, 16.3229, 14.1482
AKAZE, SIFT, 3-4, 15.9883, 14.8251
AKAZE, SIFT, 4-5, 11.7422, 17.9235
AKAZE, SIFT, 5-6, 15.1703, 15.3774
AKAZE, SIFT, 6-7, 11.3822, 15.854
AKAZE, SIFT, 7-8, 12.9842, 14.2077
AKAZE, SIFT, 8-9, 13.0407, 15.5042
AKAZE, SIFT, 9-10, 12.4117, 11.9495
AKAZE, SIFT, 10-11, 11.6781, 12.5322
AKAZE, SIFT, 11-12, 10.5236, 11.4991
AKAZE, SIFT, 12-13, 9.3932, 10.836
AKAZE, SIFT, 13-14, 9.54557, 10.5676
AKAZE, SIFT, 14-15, 8.62937, 10.2353
AKAZE, SIFT, 15-16, 8.67236, 10.2658
AKAZE, SIFT, 16-17, 11.5561, 9.66012
AKAZE, SIFT, 17-18, 8.04705, 9.79043
,,,,
BRISK, BRIEF, 0-1, 13.144, 13.6275
BRISK, BRIEF, 1-2, 12.9549, 19.3488
BRISK, BRIEF, 2-3, 16.3229, 12.3224
BRISK, BRIEF, 3-4, 15.9883, 22.2827
BRISK, BRIEF, 4-5, 11.7422, 21.5876
BRISK, BRIEF, 5-6, 15.1703, 19.9761
BRISK, BRIEF, 6-7, 11.3822, 18.1374
